,PC6,NWIRP
667,1016XR,20
668,1016XS,30
669,1016XT,20
670,1016XV,10
671,1016XZ,30
672,1017AA,30
673,1017AD,20
674,1017AN,10
675,1017AX,20
676,1017BA,10
677,1017BJ,20
678,1017BK,20
679,1017BN,20
680,1017BP,20
681,1017BS,20
682,1017BW,20
683,1017CE,30
684,1017CJ,20
685,1017CL,40
686,1017CN,40
687,1017CS,20
688,1017CV,40
689,1017CX,10
690,1017CZ,30
691,1017DA,20
692,1017DM,10
693,1017DN,10
694,1017DR,10
695,1017DW,20
696,1017ED,10
697,1017EP,20
698,1017ET,10
699,1017EV,10
700,1017GD,10
701,1017GE,10
702,1017GH,20
703,1017GJ,30
704,1017GN,20
705,1017GP,20
706,1017GW,10
707,1017GZ,10
708,1017HG,30
709,1017HW,10
710,1017HX,10
711,1017JA,10
712,1017JB,20
713,1017JC,10
714,1017JH,10
715,1017JJ,20
716,1017JM,10
